GEO_ID,NAME,2014,2015,2016,2017,2018,2019,2020,2021
Geography,Geographic Area Name,Estimate!!Total housing units,Estimate!!Total housing units,Estimate!!Total housing units,Estimate!!Total housing units,Estimate!!Total housing units,Estimate!!Total housing units,Estimate!!Total housing units,Estimate!!Total housing units
1400000US26163500100,5001,1715,1762,1789,1817,1789,1824,1843,1686
1400000US26163500200,5002,1243,1283,1299,1267,1274,1289,1364,1245
1400000US26163500300,5003,1238,1272,1290,1266,1250,1273,1263,1198
1400000US26163500400,5004,838,848,857,871,892,864,939,884
1400000US26163500500,5005,942,903,980,984,999,923,954,856
1400000US26163500600,5006,1559,1609,1620,1571,1644,1622,1558,1442
1400000US26163500700,5007,1886,1888,1917,1910,1897,1880,1725,1573
1400000US26163500800,5008,1069,1122,1135,1157,1150,1176,1121,1037
1400000US26163500900,5009,1755,1768,1768,1784,1825,1827,1849,1718
1400000US26163501000,5010,1408,1412,1375,1320,1390,1393,1276,1198
1400000US26163501100,5011,1631,1626,1648,1619,1623,1636,1674,1525
1400000US26163501200,5012,977,956,895,902,892,889,767,706
1400000US26163501300,5013,1801,1717,1644,1563,1411,1358,1272,1262
1400000US26163501400,5014,1692,1688,1701,1716,1718,1717,1471,1361
1400000US26163501500,5015,1775,1800,1794,1798,1810,1816,1813,1664
1400000US26163501600,5016,1059,1070,1084,1073,1090,1071,996,910
1400000US26163501700,5017,1221,1207,1179,1156,1147,1149,994,948
1400000US26163501800,5018,2104,2113,2110,2153,2151,2145,2420,2059
1400000US26163501900,5019,1386,1365,1364,1383,1303,1297,1152,1054
1400000US26163502000,5020,1089,1015,983,962,957,968,1041,960
1400000US26163503100,5031,1200,1209,1232,1231,1245,1278,2033,1876
1400000US26163503200,5032,1501,1550,1560,1516,1505,1535,1545,1379
1400000US26163503300,5033,1734,1726,1786,1781,1780,1803,1357,1235
1400000US26163503400,5034,641,637,679,673,698,715,1480,1310
1400000US26163503500,5035,1785,1832,1867,1787,1773,1695,1842,1659
1400000US26163503600,5036,907,942,947,929,918,904,783,644
1400000US26163503900,5039,1114,1126,1112,1139,1070,1144,1499,1365
1400000US26163504000,5040,692,679,686,669,657,640,1012,962
1400000US26163504100,5041,945,973,983,968,1000,962,1039,932
1400000US26163504200,5042,1200,1240,1236,1248,1244,1248,622,585
1400000US26163504300,5043,1320,1274,1301,1305,1264,1231,926,868
1400000US26163504400,5044,1111,1109,1114,1118,1143,1121,1198,1111
1400000US26163504700,5047,1195,1168,1096,1061,1056,1050,1169,1079
1400000US26163504800,5048,461,420,432,440,435,419,1026,921
1400000US26163504900,5049,1532,1547,1554,1579,1598,1620,2312,1928
1400000US26163505000,5050,617,569,593,565,543,509,1601,1511
1400000US26163505100,5051,1758,1819,1941,2011,2068,2115,1486,1406
1400000US26163505200,5052,1595,1596,1605,1554,1585,1628,2020,1845
1400000US26163505400,5054,1228,1300,1358,1440,1454,1487,2026,1908
1400000US26163505500,5055,698,693,684,711,687,687,1703,1479
1400000US26163506100,5061,854,876,877,889,868,886,844,786
1400000US26163506200,5062,966,987,979,942,953,949,1040,981
1400000US26163506300,5063,1099,1100,1109,1127,1113,1089,1031,962
1400000US26163506400,5064,667,650,656,622,613,582,586,501
1400000US26163506500,5065,1135,1145,1174,1155,1147,1161,1087,1014
1400000US26163506600,5066,1532,1545,1556,1583,1626,1642,1773,1572
1400000US26163506700,5067,592,576,573,571,569,575,524,479
1400000US26163506800,5068,1846,1854,1874,1883,1897,1909,1896,1766
1400000US26163506900,5069,1720,1747,1707,1686,1682,1681,1573,1521
1400000US26163507000,5070,1358,1357,1348,1316,1286,1313,1220,1167
1400000US26163507100,5071,1362,1343,1352,1395,1368,1398,1528,1230
1400000US26163507200,5072,834,815,827,796,807,803,792,750
1400000US26163507300,5073,1476,1519,1509,1520,1521,1506,1421,1289
1400000US26163507400,5074,1424,1490,1512,1523,1529,1567,1491,1429
1400000US26163507500,5075,1284,1308,1315,1342,1327,1312,1252,1170
1400000US26163507800,5078,422,383,398,410,380,354,963,892
1400000US26163507900,5079,1367,1409,1380,1323,1283,1227,1113,1060
1400000US26163508000,5080,842,874,901,872,930,923,1496,1312
1400000US26163508100,5081,1438,1374,1276,1269,1236,1237,2098,1818
1400000US26163510400,5104,649,654,643,627,586,595,1855,1608
1400000US26163510500,5105,1540,1557,1531,1548,1444,1475,973,927
1400000US26163510600,5106,1663,1725,1727,1754,1754,1834,1283,1128
1400000US26163510700,5107,601,632,650,675,675,675,1446,1306
1400000US26163511000,5110,1033,1046,1029,1054,1054,1057,1315,1241
1400000US26163511200,5112,860,892,904,902,862,867,1738,1564
1400000US26163511300,5113,1252,1213,1239,1194,1196,1211,921,829
1400000US26163511400,5114,1774,1753,1709,1699,1694,1670,1336,1223
1400000US26163511900,5119,1177,1199,1238,1220,1192,1146,1902,1754
1400000US26163512100,5121,1762,1801,1790,1744,1687,1622,1764,1639
1400000US26163512200,5122,475,491,505,501,505,508,1117,1059
1400000US26163512300,5123,906,867,850,847,819,772,1918,1759
1400000US26163512400,5124,782,804,826,825,823,804,1390,1262
1400000US26163512600,5126,990,993,999,994,1000,955,1418,1294
1400000US26163512900,5129,1012,1036,1033,999,975,962,693,527
1400000US26163513200,5132,1076,1081,1048,1037,1027,1005,891,847
1400000US26163513300,5133,1194,1213,1237,1256,1260,1281,2359,2215
1400000US26163513600,5136,892,878,908,890,892,923,875,723
1400000US26163513700,5137,1785,1810,1847,1864,1825,1844,3444,3122
1400000US26163513900,5139,1305,1301,1324,1279,1273,1281,1255,1144
1400000US26163514100,5141,1793,1758,1826,1820,1831,1818,661,511
1400000US26163514200,5142,1512,1517,1487,1467,1372,1311,1646,1568
1400000US26163514300,5143,1445,1413,1450,1463,1492,1481,1404,1068
1400000US26163514500,5145,669,695,693,692,664,649,1719,1622
1400000US26163515200,5152,935,936,974,940,892,911,468,372
1400000US26163515300,5153,2093,2169,2276,2280,2246,2272,1572,1475
1400000US26163515400,5154,790,839,841,870,877,877,2589,2276
1400000US26163515600,5156,876,876,891,885,895,910,1070,1033
1400000US26163515700,5157,3191,3222,3293,3367,3383,3379,1009,874
1400000US26163515900,5159,878,870,877,864,847,829,1526,1406
1400000US26163516000,5160,1409,1343,1355,1324,1333,1365,2028,1822
1400000US26163516100,5161,483,455,428,442,398,380,1673,1466
1400000US26163516200,5162,430,458,461,443,450,427,971,935
1400000US26163516300,5163,418,406,403,394,396,425,700,622
1400000US26163516400,5164,667,692,724,708,685,666,922,836
1400000US26163516500,5165,1177,1182,1185,1232,1401,1546,1147,1074
1400000US26163516600,5166,1154,1162,1190,1188,1206,1220,766,709
1400000US26163516700,5167,1626,1668,1757,1831,1800,1804,1115,942
1400000US26163516800,5168,558,558,594,552,548,523,1465,1297
1400000US26163516900,5169,1616,1647,1672,1716,1697,1675,1279,1128
1400000US26163517000,5170,2272,2392,2513,2578,2576,2566,2896,2756
1400000US26163517100,5171,962,951,948,928,966,1007,1372,1176
1400000US26163517200,5172,728,795,858,906,964,998,1036,959
1400000US26163517300,5173,1239,1335,1366,1356,1407,1433,811,797
1400000US26163517500,5175,1802,1806,1848,1854,1886,1940,821,703
1400000US26163518000,5180,1357,1429,1439,1496,1532,1549,1145,1079
1400000US26163518400,5184,383,356,358,311,297,268,1698,1482
1400000US26163518500,5185,697,656,687,681,678,680,1076,982
1400000US26163518600,5186,438,408,408,404,392,369,1230,1130
1400000US26163518800,5188,542,530,520,512,484,478,741,679
1400000US26163518900,5189,867,919,953,952,967,956,1509,1533
1400000US26163520200,5202,1036,1128,1139,1154,1123,1118,982,947
1400000US26163520300,5203,1250,1331,1291,1338,1452,1470,829,731
