X,Y,address,parcel_id,demolition_date,council_district,neighborhood,emergency_demo,street_number,street_direction,street_name,street_type,block_range,property_longitude,property_latitude,ObjectId
-83.04673,42.431919,18814 Caldwell,13014277,2014,3,Krainz Woods,No,18814,,CALDWELL,St,18800-18999 Caldwell St,-83.04673,42.431919,10028
-83.250211,42.402825,15436 Westbrook,22109754,2014,1,Brightmoor,No,15436,,WESTBROOK,St,15400-15699 Westbrook St,-83.250211,42.402825,1206
-83.019277,42.392305,6835 Seminole,17007916,2014,3,Airport Sub,No,6835,,SEMINOLE,St,6600-6899 Seminole St,-83.019277,42.392305,6087
-83.148363,42.278371,1337 Liddesdale,20013263,2014,6,Boynton,No,1337,,LIDDESDALE,St,1200-1399 S Liddesdale St,-83.148363,42.278371,20277
-83.122396,42.366108,8917 Otsego,14007315,2014,5,Petoskey-Otsego,No,8917,,OTSEGO,St,8800-9199 Otsego St,-83.122396,42.366108,23955
-83.055143,42.434496,19181 Lamont,13017525,2014,3,Farwell,No,19181,,LAMONT,St,19100-19299 Lamont St,-83.055143,42.434496,7401
-82.996171,42.389819,5622 St Clair,21038752,2014,4,West End,No,5622,,ST CLAIR,St,5600-5799 Saint Clair St,-82.996171,42.389819,1333
-83.000233,42.424162,17338 Bradford,21035009,2014,3,Von Steuben,No,17338,,BRADFORD,St,17300-17799 Bradford St,-83.000233,42.424162,6058
-82.946338,42.380557,2174 Philip,21060096,2014,4,Riverbend,No,2174,,PHILIP,St,2100-2499 Philip St,-82.946338,42.380557,1470
-82.986594,42.415499,12570 Jane,21011770,2014,4,Eden Gardens,No,12570,,JANE,St,12500-12699 Jane St,-82.986594,42.415499,23286
-82.986131,42.414564,12562 Flanders,21011358,2014,4,Eden Gardens,No,12562,,FLANDERS,St,12500-12699 Flanders St,-82.986131,42.414564,10294
-82.985461,42.414798,12602 Flanders,21011353,2014,4,Eden Gardens,No,12602,,FLANDERS,St,12500-12699 Flanders St,-82.985461,42.414798,10883
-82.989317,42.407211,12008 Promenade,21008888,2014,4,Wade,No,12008,,PROMENADE,Ave,12000-12199 Promenade Ave,-82.989317,42.407211,10955
-83.070903,42.406129,2096 Halleck,9005555,2014,3,Campau/Banglatown,No,2096,,HALLECK,St,1900-2399 Halleck St,-83.070903,42.406129,22448
-83.161575,42.403701,15372 Ilene,16040213,2014,2,Bethune Community,No,15372,,ILENE,St,15300-15399 Ilene St,-83.161575,42.403701,4355
-82.997461,42.393344,5912 Harding,21039562,2014,4,Airport Sub,No,5912,,HARDING,St,5600-5799 Harding St,-82.997461,42.393344,6398
-83.097608,42.388254,1135 Burlingame,6003016,2014,5,Gateway Community,No,1135,,BURLINGAME,St,1100-1399 Burlingame St,-83.097608,42.388254,17313
-82.987822,42.361035,1537 Belvidere,19008035,2014,5,East Village,No,1537,,BELVIDERE,St,1500-2099 Belvidere St,-82.987822,42.361035,2405
-82.980988,42.400416,12280 Evanston,21005086,2014,4,Ravendale,No,12280,,EVANSTON,St,12200-12499 Evanston St,-82.980988,42.400416,18272
-83.171677,42.387334,13608 Sorrento,22023481,2014,7,Grand River-I96,No,13608,,SORRENTO,St,13500-13899 Sorrento St,-83.171677,42.387334,20966
-82.974985,42.441086,14425 Manning,21023309,2014,3,Franklin,No,14425,,MANNING,St,14400-14499 Manning St,-82.974985,42.441086,22480
-83.22995,42.385218,13575 Piedmont,22087667,2014,1,Schoolcraft Southfield,No,13575,,PIEDMONT,St,13500-13899 Piedmont St,-83.22995,42.385218,3286
-83.217301,42.392477,14364 Southfield,22073258,2014,1,Grandmont,No,14364,,SOUTHFIELD,,,-83.217301,42.392477,4664
-83.276308,42.428408,19026 Dale,22122256,2014,1,Seven Mile-Rouge,No,19026,,DALE,St,18900-19099 Dale St,-83.276308,42.428408,10490
-83.253582,42.42506,18457 Bentler,22015679,2014,1,Holcomb Community,No,18457,,BENTLER,St,18400-18648 Bentler St,-83.253582,42.42506,23573
-83.217481,42.396899,14844 Southfield,22073294.002L,2014,1,Grandmont,No,14844,,SOUTHFIELD,,,-83.217481,42.396899,1887
-83.259098,42.403772,15520 Dolphin,22114841,2014,1,Brightmoor,No,15520,,DOLPHIN,St,15400-15699 Dolphin St,-83.259098,42.403772,1817
-82.987117,42.376885,3794 St Clair,21038601,2014,4,East Canfield,No,3794,,ST CLAIR,St,3700-4399 Saint Clair St,-82.987117,42.376885,14723
-83.142292,42.350447,7757 Wykes,18013385,2014,6,Midwest,No,7757,,WYKES,St,7700-7999 Wykes St,-83.142292,42.350447,6312
-83.120957,42.369731,9247 Holmur,14006622,2014,7,Nardin Park,No,9247,,HOLMUR,St,9200-9699 Holmur St,-83.120957,42.369731,23246
-83.1572,42.383576,12795 Indiana,16036236,2014,7,Littlefield Community,No,12795,,INDIANA,St,12600-13099 Indiana St,-83.1572,42.383576,391
